epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.881,1.59309,4.22186,1.32534,0.00111,0.29412,0.0024,0.00136,1.21496,4.45688,1.17637,6e-05,6e-05,6e-05
2,34.3006,1.20928,4.03351,1.07215,0.00178,0.47059,0.02328,0.01313,1.214,4.40665,1.05625,0.000138268,0.000138268,0.000138268
3,48.0497,0.96751,3.62077,0.91909,0.00289,0.76471,0.264,0.15967,1.19336,4.26406,0.99242,0.000214555,0.000214555,0.000214555
4,61.7941,1.03232,3.02527,0.99203,0.00356,0.94118,0.31067,0.18901,1.18624,4.20834,0.98931,0.000288863,0.000288863,0.000288863
5,75.9739,1.03798,2.23411,0.98985,0.00356,0.94118,0.3087,0.20099,1.13846,4.05881,0.99146,0.00036119,0.00036119,0.00036119
6,89.2347,1.06784,2.27635,1.03019,0.00356,0.94118,0.25991,0.18768,1.15288,3.99613,1.01842,0.000431538,0.000431538,0.000431538
7,102.501,1.00117,1.96298,0.96186,0.00333,0.88235,0.28633,0.17902,1.14262,4.03097,1.01634,0.000499905,0.000499905,0.000499905
8,115.704,0.99705,2.03254,0.94007,0.00333,0.88235,0.16498,0.09847,1.20793,4.12319,1.00156,0.000566292,0.000566292,0.000566292
9,129.349,1.04239,2.04155,1.0232,0.00333,0.88235,0.26186,0.15616,1.21447,4.00285,1.15035,0.0006307,0.0006307,0.0006307
10,143.644,0.98441,1.96741,0.994,0.00356,0.94118,0.24523,0.16734,1.16083,4.11088,1.16513,0.000693127,0.000693127,0.000693127
11,157.343,1.04207,2.06741,1.01286,0.00356,0.94118,0.20625,0.14051,1.07781,4.03751,1.02127,0.000753575,0.000753575,0.000753575
12,170.813,1.01285,1.81566,0.96193,0.01316,0.05882,0.02591,0.01736,1.14205,4.22727,1.16024,0.000812043,0.000812043,0.000812043
13,184.424,1.01547,1.76965,0.9946,0.00333,0.88235,0.01217,0.00699,1.1114,4.14314,1.18024,0.00086853,0.00086853,0.00086853
14,198.273,0.96457,1.68673,0.94959,0.04957,0.05882,0.03808,0.01263,1.18471,4.06355,1.16117,0.000923037,0.000923037,0.000923037
15,211.671,1.01323,1.7007,1.01749,0.11898,0.11765,0.0926,0.05257,1.12283,3.98652,1.12049,0.000975565,0.000975565,0.000975565
16,225.279,1.03162,1.8007,1.0177,0.1833,0.11765,0.03752,0.02134,1.17117,3.95865,1.23318,0.00102611,0.00102611,0.00102611
17,238.833,0.99827,1.67772,0.99469,0.39692,0.11765,0.07856,0.0539,1.22515,3.85657,1.20049,0.00107468,0.00107468,0.00107468
18,252.396,1.06353,1.67337,1.10592,0.70888,0.17647,0.24008,0.1609,1.31075,3.51322,1.32757,0.00112127,0.00112127,0.00112127
19,266.116,0.9261,1.72691,0.97236,0.91379,0.17647,0.22734,0.14023,1.28617,3.50168,1.54076,0.00116588,0.00116588,0.00116588
20,280.141,1.0197,1.62675,0.98255,0.89174,0.17647,0.22242,0.13752,1.28042,3.46247,1.68235,0.0012085,0.0012085,0.0012085
21,294.484,1.01942,1.66606,1.00558,0.04966,0.23529,0.04146,0.02621,1.20503,3.89088,1.26241,0.00124915,0.00124915,0.00124915
22,309.087,1.1551,1.73539,1.15896,0.05054,0.29412,0.04691,0.02741,1.30783,3.80288,1.31742,0.00128782,0.00128782,0.00128782
23,323.237,1.00115,1.60452,1.06258,0.07073,0.29412,0.06079,0.03315,1.29543,4.09956,1.24213,0.00132451,0.00132451,0.00132451
24,337.869,1.03289,1.68798,1.15196,0.42764,0.29412,0.34098,0.20788,1.35487,3.27459,1.40212,0.00135921,0.00135921,0.00135921
25,351.918,1.02963,1.57217,1.0589,0.31559,0.58824,0.40527,0.24749,1.40706,2.83996,1.33779,0.00139194,0.00139194,0.00139194
26,364.983,0.94741,1.66125,1.02778,0.63513,0.47059,0.52095,0.34674,1.42958,2.78978,1.26826,0.00138125,0.00138125,0.00138125
27,377.922,1.11355,1.61521,1.07474,0.52502,0.47059,0.48384,0.32918,1.39026,2.86461,1.22959,0.0013565,0.0013565,0.0013565
28,390.836,1.09951,1.35198,1.07998,0.23941,0.58824,0.21159,0.13778,1.34135,3.11566,1.26391,0.00133175,0.00133175,0.00133175
29,404.234,1.02963,1.54036,1.03082,0.36728,0.41176,0.24113,0.15488,1.49622,3.11136,1.40257,0.001307,0.001307,0.001307
30,418.186,1.00787,1.38192,0.98464,0.26828,0.58824,0.22121,0.13038,1.49368,3.43576,1.40783,0.00128225,0.00128225,0.00128225
31,432.14,0.96819,1.4693,0.96968,0.26806,0.6035,0.23756,0.12714,1.2813,3.53048,1.19736,0.0012575,0.0012575,0.0012575
32,445.865,0.90364,1.22472,1.0263,0.49867,0.58824,0.52875,0.3176,1.20711,2.55416,1.24213,0.00123275,0.00123275,0.00123275
33,459.023,0.88375,1.2888,0.99948,0.54169,0.70588,0.66156,0.37056,1.29937,2.4133,1.36644,0.001208,0.001208,0.001208
34,472.438,0.93861,1.18866,0.99847,0.59649,0.64706,0.67688,0.39219,1.35124,2.28057,1.30896,0.00118325,0.00118325,0.00118325
35,486.162,0.90004,1.30684,1.01807,0.83003,0.76471,0.82615,0.54155,1.16526,2.04199,1.14685,0.0011585,0.0011585,0.0011585
36,500.34,0.89351,1.19443,0.96455,0.77869,0.70588,0.79677,0.53045,1.11391,2.08468,1.13542,0.00113375,0.00113375,0.00113375
37,514.159,0.9275,1.2066,0.95793,0.75788,0.73739,0.8136,0.50821,1.2437,2.08922,1.14031,0.001109,0.001109,0.001109
38,527.608,0.86531,1.22899,0.92502,0.75901,0.64706,0.70372,0.40095,1.36976,2.37091,1.1773,0.00108425,0.00108425,0.00108425
39,541.071,0.87872,1.25694,0.95861,0.5019,0.76471,0.62766,0.37725,1.33113,3.02929,1.15921,0.0010595,0.0010595,0.0010595
40,554.236,0.92672,1.18962,1.09001,0.22295,0.70588,0.22883,0.15416,1.18778,6.25997,1.15429,0.00103475,0.00103475,0.00103475
41,567.415,0.87812,1.18942,0.98767,0.36885,0.52941,0.41016,0.26605,1.17096,4.0515,1.1615,0.00101,0.00101,0.00101
42,580.764,0.86945,1.13661,0.97433,0.67426,0.73134,0.78846,0.52158,1.12271,2.40633,1.17552,0.00098525,0.00098525,0.00098525
43,593.892,0.81156,1.10885,0.98265,0.93729,0.87933,0.93554,0.60998,1.17994,1.75976,1.25923,0.0009605,0.0009605,0.0009605
44,607.044,0.85695,1.12338,0.94892,1,0.88154,0.955,0.59786,1.20824,1.56621,1.29703,0.00093575,0.00093575,0.00093575
45,620.303,0.78291,1.1103,0.97614,0.93381,0.83031,0.96213,0.59031,1.1666,1.58436,1.21671,0.000911,0.000911,0.000911
46,633.459,0.88245,1.00415,0.95397,0.93756,0.88325,0.98195,0.60759,1.12101,1.51516,1.17585,0.00088625,0.00088625,0.00088625
47,646.646,0.80489,1.02714,0.95181,1,0.98297,0.995,0.64283,1.09783,1.45541,1.14922,0.0008615,0.0008615,0.0008615
48,659.791,0.75454,0.98456,0.91348,0.97067,1,0.995,0.63537,1.08708,1.41953,1.13035,0.00083675,0.00083675,0.00083675
49,673.425,0.75418,1.06305,0.94267,1,0.88046,0.98621,0.65313,1.08878,1.36976,1.14298,0.000812,0.000812,0.000812
50,686.966,0.8956,1.11467,0.98022,0.98613,0.88235,0.98397,0.70036,1.08868,1.4108,1.1369,0.00078725,0.00078725,0.00078725
51,700.216,0.77085,1.11391,0.92866,1,0.91882,0.9875,0.71234,1.02824,1.36402,1.1822,0.0007625,0.0007625,0.0007625
52,713.614,0.73276,0.95452,0.90361,0.99086,0.94118,0.98548,0.69839,1.03612,1.36218,1.11282,0.00073775,0.00073775,0.00073775
53,726.969,0.80667,1.06006,0.94583,0.97529,0.94118,0.9875,0.71582,1.04667,1.31314,1.0916,0.000713,0.000713,0.000713
54,740.305,0.78939,1.04601,0.92341,0.97579,0.94118,0.98974,0.69794,1.05727,1.23067,1.09542,0.00068825,0.00068825,0.00068825
55,754.243,0.82489,1.16132,0.974,0.9844,0.94118,0.98364,0.68121,1.02671,1.19429,1.07828,0.0006635,0.0006635,0.0006635
56,767.755,0.7733,0.97404,0.89263,1,0.87243,0.98397,0.66016,1.04013,1.19813,1.08721,0.00063875,0.00063875,0.00063875
57,781.12,0.80481,1.01855,0.96954,0.93598,0.88235,0.96958,0.67975,1.08818,1.16825,1.09434,0.000614,0.000614,0.000614
58,794.666,0.74233,0.94489,0.91485,0.93317,0.88235,0.96947,0.65823,1.10014,1.13673,1.10899,0.00058925,0.00058925,0.00058925
59,808.47,0.73348,1.0238,0.96791,0.93037,0.88235,0.97225,0.67872,1.05989,1.13824,1.11479,0.0005645,0.0005645,0.0005645
60,822.419,0.76623,0.93695,0.98929,0.99202,0.88235,0.976,0.68561,1.02368,1.1958,1.14559,0.00053975,0.00053975,0.00053975
61,835.656,0.71083,0.8408,0.8774,0.99233,0.88235,0.97164,0.6943,1.04064,1.19978,1.13061,0.000515,0.000515,0.000515
62,849.171,0.69169,1.00928,0.95287,0.99117,0.88235,0.97416,0.69918,1.08237,1.18617,1.13829,0.00049025,0.00049025,0.00049025
63,862.555,0.74672,0.95246,0.90716,0.94057,0.93145,0.98195,0.66359,1.12275,1.17921,1.13821,0.0004655,0.0004655,0.0004655
64,875.586,0.70203,0.91482,0.93079,0.98779,0.88235,0.97416,0.66162,1.13291,1.20584,1.15329,0.00044075,0.00044075,0.00044075
65,888.487,0.6773,0.9805,0.88733,1,0.86638,0.96262,0.67119,1.09818,1.23605,1.16659,0.000416,0.000416,0.000416
66,901.647,0.64993,0.91357,0.90735,0.87929,0.88235,0.93231,0.66528,1.0729,1.30986,1.17746,0.00039125,0.00039125,0.00039125
